Transaction ID,Velocity ID,Alert Information,Alert Type,Is Alerted Transaction?,Account No,Ref No,Transaction Code Description,Currency,Transaction Amount,Transaction Date,Dr Cr,Beneficiary ID,Beneficiary Name,Beneficiary Last Name,Beneficiary Address,Beneficiary Type,Originator ID,Originator Name,Originator First Name,Originator Last Name,Originator Address
12315039,ALERT1234141,Large value card transactions for purchase,TM,Yes,HNTchdo_kjieo3ju4b2ki23ur23b2i4n2,HNT293482349210239,HNT_D_3000,USD,1050.00,2025-03-09,DR,234213241234,Apple Store,Apple Store,New York NY US,CreditParty,HNT23_jalskdjfalksjfiei234,Jhon Doe,Jhon,Doe,123 WhiteField DR US
12315040,ALERT1234141,Large repetitive card usage at the same merchant,TM,Yes,HNTchdo_kjieo3ju4b2ki23ur23b2i4n2,HNT293482349210240,HNT_D_3000,USD,2100.50,2025-03-10,CR,HNT23_jalskdjfalksjfiei234,Jhon Doe,Doe,123 WhiteField DR US,Individual,900000000001,Emily Carter,Emily,Carter,88 Pine St Boston MA US
12315041,ALERT1234141,"Large value card transactions for purchase, Large repetitive card usage at the same merchant",TM,Yes,HNTchdo_kjieo3ju4b2ki23ur23b2i4n2,HNT293482349210241,HNT_D_3000,USD,3200.75,2025-03-11,DR,234213241235,Amazon Marketplace,Amazon Marketplace,Seattle WA US,CreditParty,HNT23_jalskdjfalksjfiei234,Jhon Doe,Jhon,Doe,123 WhiteField DR US
12315041,ALERT1234141,Large value card transactions for purchase,TM,Yes,HNTchdo_kjieo3ju4b2ki23ur23b2i4n2,HNT293482349210241,HNT_D_3000,USD,3200.75,2025-03-11,DR,234213241235,Amazon Marketplace,Amazon Marketplace,Seattle WA US,CreditParty,HNT23_jalskdjfalksjfiei234,Jhon Doe,Jhon,Doe,123 WhiteField DR US
12315042,ALERT1234141,"Large repetitive card usage at the same merchant, Large value card transactions for purchase",TM,Yes,HNTchdo_kjieo3ju4b2ki23ur23b2i4n2,HNT293482349210242,HNT_D_3000,USD,4500.00,2025-03-12,CR,HNT23_jalskdjfalksjfiei234,Jhon Doe,Doe,123 WhiteField DR US,Individual,900000000002,Michael Brown,Michael,Brown,14 Lakeview Rd Austin TX US
12315043,ALERT1234141,Large value card transactions for purchase,TM,Yes,HNTchdo_kjieo3ju4b2ki23ur23b2i4n2,HNT293482349210243,HNT_D_3000,USD,1250.00,2025-03-13,DR,234213241236,Best Buy,Best Buy,Chicago IL US,CreditParty,HNT23_jalskdjfalksjfiei234,Jhon Doe,Jhon,Doe,123 WhiteField DR US
12315044,ALERT1234141,Large repetitive card usage at the same merchant,TM,Yes,HNTchdo_kjieo3ju4b2ki23ur23b2i4n2,HNT293482349210244,HNT_D_3000,USD,1500.00,2025-03-14,CR,HNT23_jalskdjfalksjfiei234,Jhon Doe,Doe,123 WhiteField DR US,Individual,900000000003,Sophia Nguyen,Sophia,Nguyen,250 Market St San Jose CA US
12315044,ALERT1234141,Large value card transactions for purchase,TM,Yes,HNTchdo_kjieo3ju4b2ki23ur23b2i4n2,HNT293482349210244,HNT_D_3000,USD,1500.00,2025-03-14,CR,HNT23_jalskdjfalksjfiei234,Jhon Doe,Doe,123 WhiteField DR US,Individual,900000000003,Sophia Nguyen,Sophia,Nguyen,250 Market St San Jose CA US
12315045,ALERT1234141,Large value card transactions for purchase,TM,Yes,HNTchdo_kjieo3ju4b2ki23ur23b2i4n2,HNT293482349210245,HNT_D_3000,USD,3355.20,2025-03-15,DR,234213241237,Shell Oil,Shell Oil,Houston TX US,CreditParty,HNT23_jalskdjfalksjfiei234,Jhon Doe,Jhon,Doe,123 WhiteField DR US
12315046,ALERT1234141,Large repetitive card usage at the same merchant,TM,Yes,HNTchdo_kjieo3ju4b2ki23ur23b2i4n2,HNT293482349210246,HNT_D_3000,USD,3100.00,2025-03-16,CR,HNT23_jalskdjfalksjfiei234,Jhon Doe,Doe,123 WhiteField DR US,Individual,900000000004,Daniel Kim,Daniel,Kim,77 Cedar Ave Denver CO US
